Defect ID,Date Recorded,Defect Description,Error-Prone Scenario Analysis,Human Error Modes
14,2/12/2025,Deployed EC2 instance that did not have the correct inbound rules for SSHing,As deploying the EC2 instance was the lions share of the work the security group rules became an afterthought,Post-completion error
15,2/4/2025,"In C. Initialized a char * (pointer to a char variable) as just a char (just a char variable). After deciding to make a pointer rather than an array and deleting the array [], I forgot to add the * to make it a pointer rather than just a character itself","Did not notice I forgot to enter in a * until after I had written several more lines of code and the next compile failed. I already finished taking out the [] marking the variable type as an array, and I think my mind considered this as the main subtask, forgetting I also must add the * to the end of the variable type to properly change the type from an array to a pointer.",Post-completion error
16,2/6/2025,"JS with React, defect exists where a text box that should accept all real numbers doesn’t allow decimal numbers to be entered into it.",JS React MUI library has many complex parts to it that interact with each other in strange ways leading to issues with piecing together complex functional elements.,Problems with complexity
17,2/6/2025,"In Java, using the system line separator leads to undefined behavior dependent on the system since the line separator is represented by “\r\n” on Windows and “\n” on UNIX systems. This is in the documentation. Parsing such code based on line separators can be undefined in certain settings such as with files containing new line characters “\n”.",Assumed that the behavior in which the system line separator which worked on Windows would extend to other development environments as well when later investigation into the documentation revealed otherwise.,Rule encoding deficiencies
18,2/10/2025,Overlooked addition of required IAM permissions when deploying new Bedrock testing to test agents using AWS CDK.,"The required IAM permissions were not included in the AWS CDK deployment, leading to permission failures on the EC2 test agents when interacting with the Bedrock API. This issue arose due failing to verify IAM policies before deployment.",Rule encoding deficiencies
19,2/13/2025,"When performing a left AVL rotation on node X, node X must be established as node Y’s left child and node Y must replace node X as node X’s parent’s child. When performing the rotation node Y’s parent was set as node X’s parent, but node X’s parent’s child was not replaced.","When working with nodes X and Y, the most salient references that must be updated are references stemming from nodes X and Y. Therefore node X’s parent is correctly set to node Y, node Y’s left child is set to node X, and node Y’s parent is set to node X’s parent, but node Y’s child is not updated.",Selectivity
20,2/9/2025,"In C. For an assignment making a terminal shell. I Didn't pass the entirety of the main() functions argv into the global variable I created (rather skipping the 0th index for what I thought would be easier handling), causing issues when implementing translating $# into number of arguments a user gave for the shell session. This made it difficult to tell if I was running my shell commands on a script or from stdin (the terminal), both of which handle translating $# slightly differently.","I was thinking by ignoring argv[0] and not passing it into my global variable that it would make it easier to create several different commands pertaining to my shell implementing script handling. However, I had not considered how I would be able to check if my shell commands were running from a script or stdin, or how I would handle implementing $# translation if it was running in stdin, rather than a script. This assignments main purpose was to add in script handling, so most of my attention went to implementing scripts correctly, leading me to not consider how my design would work for stdin, which I had focused on more in past assignments",Selectivity
21,12/22/2024,"While parsing an integer array nums, true should be returned if there are any duplicates. A duplicate boolean was set to the value of the current int of the array and checked if it existed in a hashmap of all previous ints of the array. Instead of returning when the condition became true, each value of the array was parsed before the true condition of the last value of the array was returned.","The logic of setting a boolean to the value of the check between the current int and all previous ints was correct, the step of returning early when that boolean was true was forgotten.",Rule encoding deficiencies
22,1/14/2025,"When initially coding the structure for the Magic Trees A1 assignment, the number of -'s (later changed to spaces) was based on a variable which was set to the current line number to the power of 2. The tree grows exponentially from the bottom, which is the last part printed, so the variable should be based on the(total lines - the current line number) to the power of 2.","When working with iterative indexes, typically we start from 0 or 1 and iterative positively. When working with printing an tree from the end to the starts, the overall order must be reversed too.",Applying “strong-but-now-wrong” rule
23,1/14/2025,"In the Magic Trees assignment, I had a yCount variable meant to count the number of ‘Y’s printed in the last line containing Y’s. The variable ended up equaling the actual Y count / 2, and logic was built around it to account for that, but future logic tried to use the variable as if it was accurately set to the actual Y count.","The variable yCount did not actually accurately count Y’s, but gave the impression of doing so due to the variable name. This could also correlate with a mode similar to ‘Omissions following interruption’ and ‘Forgetting something has been done’ as something like ‘Misinterpreting something that has been done’.",Perceptual confusion
24,1/14/2025,"In the Magic Trees assignment, when printing the number of spaces, depending on the line, the total spaces would be correct or too many, depending on the pattern needed in the current line.","The number of spaces needed per line depended on the line number and its reverse log 2 base. The reverse exponential factor along with variations in patters of spaces, slashes (\, /) and Y’s led to inconsistent applications of overarching logic when printing.",Difficulties with exponential developments
25,1/11/2025,Student uses ‘=’ instead of ‘==’ when comparing integers in Java.,Student is new to Java and has previously used Python where the ‘=’ operator is used instead of ‘==’,Applying “strong-but-now-wrong” rule
26,1/9/2025,Student replaced value 0x7FFFFFFF representing 0 in the sign bit followed by all 1’s in binary with value 0xFFFFFFFF representing all 1’s in binary.,The two values used have a very similar appearance of 7 F’s and both contain 31 1’s in the non-sign bits in binary. Student temporarily deleted the value to test something and replaced the original 0x7FFFFFFF value with 0xFFFFFFFF.,Perceptual confusion
27,2/4/2025,In C. Incorrect logic in arg_parse(char *line) function,"Was not even considering that the line being passed in may be reused and may have already been chopped into a vector, and did not think to check and handle any of the effects this caused",Biased Review
28,2/4/2025,In C. Forgot to delete print statement,"Found my defect 1 bug and corrected (main subtask), then completely forgot I
needed to delete my debug print statements, as they did not have to be removed for
my program to handle argument parsing correctly (my main subtask) and deleting
the prints was the last step in the entire task",Post-Completion-Error
29,2/7/2025,In C. Assigned a variable that is a char ** (array of strings) to a char * (single string) variable,"I was writing fast, and more typically deal with a char *, so I think my brain must’ve
thought I wrote it correctly for the type and then moved on to the next (and much
more complex) step",Applying “strong-but-now-wrong” rule
30,2/9/2025,"In C. Assigned a char ** my array incorrectly. I assigned it argv[1]
instead of argv + 1 (argv[1] passes just a single char * (string), and argv + 1 passes a char **
(array of strings) that skips the 0th index of the variable)","I mistook how arrays are handled in C vs how pointers are handled in C, as pointers
are a newer concept to me, and this is only my second class coding in C.",Lack of knowledge
31,2/9/2025,"In C. Checked if my variable was > when I should have checked if it
was <, when checking for if I was at the end of my array.","I was not keeping clear variable names, and I got confused on which variable was
tracking what, in tandem with having much more complex logic to figure out andcode, therefore I wasn’t giving writing this if statement my full attention and easily
confused which variable was what.",Perceptual confusion
32,2/9/2025,"In C. For an assignment making a terminal shell. I Didn't pass the
entirety of the main() functions argv into the global variable I created (rather skipping the 0th
index for what I thought would be easier handling), causing issues when implementing
translating $# into number of arguments a user gave for the shell session. This made it
difficult to tell if I was running my shell commands on a script or from stdin (the terminal),
both of which handle translating $# slightly differently.","I was thinking by ignoring argv[0] and not passing it into my global variable that it
would make it easier to create several different commands pertaining to my shell
implementing script handling",Selectivity
33,2/9/2025,"In C. While checking if there was a space before a wildcard character
(*) in my expand function, I forgot to add the space to the final string my function returns.","I was focusing much more on the larger and more
complex subtask here (to identify if there is a wildcard character with a leading whitespace
and handling wildcard insertion into the string) rather than remembering the whitespace
must also be added to the final string my function returns.",Selectivity
34,2/11/2025,"In Java. I tried to make an array of a parent class, with some of the
indexes being different child classes, forgetting you cannot access their variables or
methods that are not in the parent without handling it in a specific way (type casting)","I had not worked with java in over a year (or any other object oriented language) and
forgot how inheritance worked",Lack of knowledge
35,2/9/2025,"The grading script required the filename `Q1_percent.py`
to run `pytest`. However, student submissions included
additional identifiers in filenames, such as
`studentname_4480817_129425548_Q1_percent.py`.
Since the script expected an exact filename match,
`pytest` threw a ""File Not Found"" error.","The script was designed to work with a predefined filename
but failed due to filename variations. There was no
mechanism to automatically identify or rename files before
running `pytest`, leading to failing tests.",Rule Encoding Deficiency
36,2/13/2025,"While solving a LeetCode problem that required binary
search, I wrote the implementation from memory, assuming
it was correct. However, I mistakenly used `low < high`
instead of `low <= high`, causing an infinite loop.","Due to confidence in my binary search knowledge, I didn't double-check the implementation. This small mistake caused an infinite loop, which could have been avoided with a quick review.",Confirmation Bias
37,2/12/2025,"While debugging a Python program, I inserted multiple
`print()` statements to check variable values but forgot to
remove them before running final tests, leading to excessive
console output.","I relied too much on manual debugging and did not use
proper logging techniques. The leftover print statements
cluttered the output, making it harder to interpret test
results.",Omissions following interruptions
38,N/A,"While working on a project in a virtual environment, I
installed dependencies using `pip install -r
requirements.txt`. Later, I ran the script outside the virtual
environment, leading to a `ModuleNotFoundError`.","I assumed dependencies installed in the virtual environment
would be globally available. However, I forgot that virtual
environments isolate dependencies and needed to be
activated before running the script.",Rule Encoding Deficiencies
39,N/A,"While solving a LeetCode problem, I used a brute-force
solution with `O(n²)` complexity, which worked on small
inputs but resulted in a Time Limit Exceeded (TLE) error on
larger inputs.","I assumed my approach would scale without analyzing time
complexity. I underestimated how quickly exponential time
complexity grows.",Lack of Knowledge
40,2/14/2025,"The assignment required students to compute an average but
did not specify behavior for an empty list. Students
implemented different behaviors, causing grading
inconsistencies.","The lack of explicit requirements led to different
interpretations. A well-defined requirement should specify
expected behavior for edge cases.",Biased Review
41,1/14/2025,"In Assignment 1, I worked on code in class but forgot to
commit my final version. Luckily, a bonus commit saved me
from deductions.","I failed to track my progress properly and forgot to commit the
final version, assuming the task was complete.",Post-Completion Error
42,2/9/2025,"While writing a research paper, I was interrupted by a meeting
and later forgot to complete an important section.","The interruption caused me to assume the section was
complete when I resumed, leaving it incomplete.",Omissions following interruptions
43,1/14/2025,"In Assignment 1, I completed the tree diagram but forgot to
replace dashes (`-`) with spaces, as required.","I assumed the task was complete when the tree structure
looked correct and did not double-check formatting rules.",Post-Completion Error
44,2/8/2025,Forgot to import {useState} even though I used it later in the program,Remembering to import is far less psychologically salient than the main body of the code,Selectivity
45,2/8/2025,Forgot to import {useState} even though I used it later in the program (again),Remembering to import is far less psychologically salient than the main body of the code,Selectivity
46,2/8/2025,Mistyped “border” as “bprde”,I did not expect a typo and so did not examine the spelling after typing,Biased Review
47,2/8/2025,Wrote “i” instead of “1”,1 and i look similar enough that I typed the wrong one,Perceptual confusion
48,2/8/2025,Installed a package in the wrong folder (one level higher than it should have been),"Because the code worked, I did not check that the package was installed in the correct location",Biased Review
49,2/8/2025,Used ‘quotes’ instead of `quotes`,I was unaware that `quotes` needed to be used in order to include variables in a string,Lack of knowledge
50,2/8/2025,Passed in a component inside curly braces when it needed those to be excluded,"Previously, passing the component inside curly braces had worked",Applying “strong-but-now-wrong” rule
51,2/15/2025,Did not include an Outlet when nesting routes in a router,I was unaware that the Outlet was needed and assumed it was optional,Lack of knowledge
52,2/15/2025,Did not make sure the user input was formatted correctly before placing it into a url,Applying a method to format the input was a small step that was less psychologically salient,Selectivity
53,2/15/2025,Checked if an object was null instead of using isArray method,I was not previously aware of the isArray method,Lack of knowledge
54,2/9/2025,I used “=” instead of “==” for a conditional.,"“= =” and “=” look similar, therefore it is a perceptual confusion",Perceptual Confusions
55,2/9/2025,I reused old function logic for a new programming assignment.,I applied a previously successful function from an old project without realizing that the new project requires more complex logic,Applying “strong-but-now-wrong” rule
56,2/11/2025,I forgot to print the result of the function which was a requirement of the assignment.,I finished the core functionality but forgot the very last step of printing the result.,Post-Completion-Error
57,2/12/2025,I forgot to add input validation for processing user input.,"While I was designing a function I was interrupte-d, and I skipped this step when I returned",Omissions following interruptions
58,2/14/2025,I forgot to consider edge cases for input validation.,"I assumed that all input would fall within a certain range, and I failed to consider empty or null values.",Rule Encoding Deficiencies
59,2/14/2025,I incorrectly implemented the 0/1 knapsack problem.,"I was new to this problem and I thought that the greedy solution would work, but I needed to use a dynamic programm-ing approach",Lack of Knowledge
60,2/16/2025,"I was creating test cases for a leetcode type problem, and left out important test cases.","I believed that all cases were already considered, but failed to take all conditions into considerat-ion.",Biased Review
61,2/18/2025,I thought the dynamic programming solution would be optimal for fractional knapsack but the greedy solution was optimal.,"I incorrectl-y assumed that since 0/1 knapsack’s optimal solution was dynamic programming, then fractional knapsack would also be dynamic programming, but it was not.",Applying “strong-but-now-wrong” rule
62,2/18/2025,I incorrectly had the program terminate at unexpected input.,I paid attention to salient information rather than the important logic of including try catch to prevent the program from terminating early.,Selectivity
63,2/18/2025,I was unaware of the optimal algorithm for detecting a linked list cycle.,I did not know of the “Hare and Tortoise” approach to this problem which leads to the optimal solution.,Lack of Knowledge
64,2/15/2025,Used the call “Process_set” instead of using “Processes”,Given thatboth calls aredefined in the same header file and that both are next to each other SK1 is the most likely cause,Perceptual Confusions
65,2/15/2025,"Overcrowde
d function
with
unnecessary
checks to
register
values","Focusing on
the wrong
things I
overcrowded
my terminal
with not
valuable
information
that made it
harder to find the true
error",Selectivity
66,2/12/2025,"Deployed
EC2 instance
that did not
have the
correct
inbound
rules for
SSHing","As
deploying
the Ec2
instance was
the lions
share of the
work the
security
group rules
became an
afterthought",Post-Completion Error
67,2/12/2025,"Used a
hardcoded
value
instead for
frame count
instead of
using the
global
NUM_FRA
MES as the
value is now
different","Did not
account for
growth of
the variable
so i used a
hard coded
value",Difficulties with exponential developments
68,2/10/2025,"Did not
implement
fair waiting","As I had
finished the
main portion
of the assignment I
had
forgotten to
implement
fair waiting
in mine",Post-Completion Error
69,2/19/2025,"Set Rsp to
0x1ffffe","Not having
read the
entire
assignment
document I
set the Rsp
to 0x1ffffe
not 0x200000",Lack of knowledge
70,2/19/2025,"Did not turn
ints back on
after
return_to_us
er call","After
turning the
interrupts off
you must
turn them
back on after
return to
user, i did
not account
for that",Post-Completion Error
71,2/19/2025,"Used setReg
instead of
setTrapReg","To
implement
ExecNewPro
gram you
must use setTrapReg
and not
setReg",Perceptual Confusions
72,2/20/2025,"Did not set
the correct
error code","Assuming
that I would
send the bad
address error
as i had
done in my
other code I
set the
address error
when it
shouldve
been a not a
file error",Applying “strong-but-now-wrong” rule
73,2/20/2025,"The array
bit_array
was not
properly
allocated","Assuming
that my code ing
from the
previous
assignment
was correct I
chose not to
review the
a3-ref file as
I assumed
that I was
correct",Confirmation Bias
74,2/6/2025,"Linked the wrong CSS file to my html after using an old project as a
template for a new one","This falls under strong-but-now-wrong because I have used many projects in the
past as templates for new projects. Specifically, when using HTML, I usually copy
over my HTML and CSS files, however in this case I already had a separate CSS file
created. This caused me to continue with the project not realizing that my
implementation was wrong.",Applying “strong-but-now-wrong” rule
75,2/9/2025,"Made a create() function incorrectly for a digital signature project
due to because bad instructions, however I had another
assignment that I could have used as an example","This error was due to Rule Encoding Deficiencies, mainly due to the bad instructions given by
the professor. This caused me to not be able to correlate the method from the other
assignment, causing a faulty rule formation.",Rule Encoding Deficiencies
76,2/9/2025,"Made an extension of a previous project and when running it
through a server it added an illegal character, even when it worked
before","Because this part of the program worked in the pervious project, I assumed nothing would be
different. However, running it through a server introduced novel circumstances that I was not
expecting. I assumed that the project would function the same way after I modified it.",Applying “strong-but-now-wrong” rule
77,2/9/2025,"When doing a project, I put a lot of attention to specific outputs, but
it turned out that it didn’t have to be exact","This is a clear example of selectivity because I focused more on the psychologically salient
information. The outputs stood out to me when going over the project because I believed if I could
replicate the outputs, my code would be correct, but if I focused more on the logically important
information, I could have completed that part of the assignment much faster.",Selectivity
78,2/9/2025,"Trying to decode Base64 characters manually when there is a class
and method that does that already","I think that lack of knowledge was responsible for this because although I believe I understand Java
pretty well, I have never used Base64. So when trying to decode something into Base64 I was
completely lost and tried to do it manually. Turns out there is a java Base64 class with a decoder.",Lack of Knowledge
79,2/10/2025,"Trying to debug an error, focusing on the error when the input was
actually what was wrong","This scenario was caused by me focusing too much on the error message and not looking at the
input that was being printed before it. Instead of stepping back and looking at the bigger picture, I
was focused on information that was not as important As you can see the input is clearly off.",Selectivity
80,2/13/2025,Trying to compare two integers and used one = instead of two ==,"This mistake was just a syntax slip because both symbols look similar. It wasn’t a
misunderstanding of logic or rules, just a typing error that happened instinctively.",Perceptual Confusions
81,2/13/2025,"Being lazy and putting all of my code into a big else if, making it
harder to understand","This scenario fits best into confirmation bias because while coding, Ignored alternative approached
that might have made my code cleaner and easier to understand. Instead, I used a large else if,
because at first it kept everything in order, but soon got out of hand to the point where I had to go
back and create new methods to reduce its size.",Confirmation Bias
82,2/13/2025,"Thought I finished coding the move function but realized that a
player can just keep moving","When creating my move function for my program I finished the actual functionality of moving
the character, however I forgot the necessary condition of making sure to keep track if a player
has already moved or not on their turn.",Post-Completion Error
83,2/12/2025,Incorrect Python print syntax,Used outdated print syntax from Python 2,Applying “strong-but-now-wrong” rule
84,2/12/2025,Infinite loop due to incorrect condition.,Forgot to update loop variable.,Difficulties with exponential developments
85,2/12/2025,Used wrong formula for matrix multiplication.,Applied previously known formula without verification.,Applying “strong-but-now-wrong” rule
86,2/15/2025,Forgot to close file after writing.,"Focused on task completion, ignored cleanup.",Omissions following interruptions
87,1/17/2025,"Initially for cost reasons, some EC2 test agents were IPv6 only. Later I updated all test agents to dual stack. However, automated unit testing in CI/CD pipeline included a validation of IPv6 only EC2 instances which no longer existed resulting in a build failure.","The CI/CD pipeline continued to check for IPv6-only instances even after all test agents were converted to dual stack. The test logic was not updated to reflect the infrastructure change, leading to failures in automated validation.","Applying “strong-but-now-wrong” rule, Biased review"
88,1/23/2025,"AWS Lambda functions intermittently failed to utilize new code following UpdateFunctionCode operation. After failed attempts with adding sleep intervals, discovered that Lambda code updates adhere to an eventually consistent update model, wherein new code is not guaranteed to be accessible immediately after an update. Refactored to leverage an API providing the update status. ","The assumption that updated Lambda code would be immediately available led to failures when old versions continued executing. The initial workaround of inserting sleep intervals did not reliably resolve the issue. The root cause was eventually identified as AWS’s eventual consistency model for Lambda deployments, necessitating the use of an API to check update status before invoking the function.","Lack of Knowledge, Difficulties with exponential developments"
89,1/24/2025,"EBS block volumes intermittently fail to fully attach to EC2 instances resulting in stuck volumes, failed tests, and occupied /dev/xvdN device alias (do not appear in OS while AWS control plane believes they are in use). Added more robust error handling (force detach and block device alias from future testing).","The AWS control plane reported the volume as attached, but the OS did not recognize it, leading to failed tests and resource conflicts. This issue stems from inconsistencies between AWS’s internal state tracking and actual EC2 instance state. The problem was mitigated by implementing force-detach logic and preventing reuse of affected block device aliases in subsequent tests.","Lack of Knowledge, Biased Review"
90,1/28/2025,"While waiting for AWS EFS volumes to transition to available status, excessive API polling requests resulted in 529 throttling errors (request limits are not well documented). Introduced sleep spacing between requests to work around.","The script repeatedly polled the AWS API without rate limiting, leading to excessive requests and API throttling (529 errors). AWS does not clearly document the request limits for this operation, leading to unexpected failures. The issue was resolved by introducing a delay between requests.","Lack of Knowledge, Difficulties with exponential developments"
91,2/3/2025,BigQuery SQL queries intermittently failed due to invalid characters in large multiline stdout / stderr output captured and stored during test execution that failed to escape properly in bash test scripts. Used base64 encoding and decoding to resolve.,"The test script failed to properly escape or sanitize special characters when capturing and storing stdout/stderr output. This led to malformed SQL queries when inserting the output into BigQuery, causing intermittent failures. The issue was resolved by encoding the output in base64 before storage and decoding it when needed.","Perceptual Confusions, Rule Encoding Deficiencies"
92,2/15/2025,RabbitMQ messages lost during high volume queueing operations. Issue due to lack of ConfirmSelect and WaitForConfirm acknowledgements when using HTTP API with curl,System failed to ensure message durability due to reliance on an (incorrect) assumption that messages sent via HTTP API would be durably queued. The absence of ConfirmSelect and WaitForConfirm led to silent message loss under high load conditions.,"Lack of Knowledge, Biased Review"
93,2/13/2025,When constructing bash CLI command using sprintf applied an optional argument with a leading space instead of trailing space resulting in lack of spacing between it and ­the next successive command.,"Incorrect placement of the space in the sprintf format string caused the optional argument to merge with the next command segment, breaking the intended syntax. This error is subtle and may not be immediately visible, especially if the argument is sometimes omitted.","Perceptual Confusions, Omissions following interruptions"
94,2/15/2025,Incorrect conditional logic for user input validation.,Misunderstood logic for if-else condition.,Lack of Knowledge
95,2/16/2025,Function call with wrong parameters.,Overlooked parameter order during function call.,Perceptual Confusions
96,2/16/2025,Forgot to initialize a variable.,Jumped to coding without checking variable state.,Lack of Knowledge
97,2/10/2025,Used outdated API method.,Reused old code without checking API changes.,Applying “strong-but-now-wrong” rule
98,2/10/2025,Incorrect loop range caused partial output.,Miscalculated loop boundary condition.,Difficulties with exponential developments
99,2/10/2025,Division by zero error.,Failed to handle edge case.,Rule Encoding Deficiencies
100,2/5/2025,"Assigned
incorrect bonus
pay value for
Deadwood
Game","A person intends
to do something
different from a
well-practiced
activity in familiar
surroundings, but
fails to make an
appropriate
intentional check,
because the
intrusion of the
existing “strong’
routine",Double-capture slips
101,2/5/2025,"Retrieved
students names
from wrong
department on
Homework","Psychologically
salient, rather than
logically important
information is paid
attention to",Selectivity
102,2/6/2025,"Deadwood game
had incorrectly
implemented
end condition","Humans tend to
underestimate the
rate of change,
either growth or
decline, and tend
to construct linear
models, when
exponential
models are
required to
understand a
situation in reality",Difficulties with exponential developments
103,2/6/2025,"Deadwood game
has incorrectly
implemented
score tracker","Features of a
particular situation
are either not
encoded at all or
misrepresented in
the conditional
component of the
rule",Rule Encoding Deficiencies
104,2/7/2025,"Deadwood game
incorrectly
handled players
turn after being
interrupted by
roommates","Original Sequence
of activity is
picked up one or
two steps further
along after an
interruption","Omissions
following
interruptions"
105,2/8/2025,"Display wrong
attribute column
for database
homework","People tend to
mistakenly use one
item for another
because these two
items share some
similarities",Perceptual Confusions
106,2/12/2025,"Cards not
appearing in
Deadwood","Features of a
particular situation
are either not
encoded at all or
misrepresented in
the conditional
component of the
rule",Rule Encoding Deficiencies
107,2/14/2025,"Incorrect
average
calculation in
database
homework","Features of a
particular situation
are either not
encoded at all or
misrepresented in
the conditional
component of the
rule",Rule Encoding Deficiencies
108,2/15/2025,"IOException
error in
Deadwood","Software
vulnerabilities are
introduced when
one lacks
knowledge, or
even does not
realize some other
knowledge is
required. This
error mode is
liable to appear
especially when
the problem
belongs to an
unfamiliar
application domain",Lack of Knowledge
109,2/17/2025,"Incorrect day
transition logic
in Deadwood","In a context that is
similar to past
circumstances,
people tend to
behave in the same
way, neglecting
the signs of
exceptional or
novel
circumstances. The
more frequently
and successfully
the rule has been
used before, the
more likely it is to
be recalled and
used.",Applying “strong-but-now-wrong” rule
110,2/4/2025,"Code uploaded to
run on the cloud
(AWS) used a
package installed
for Windows and
not Linux (which
the cloud used).","Environment
requirements
when working
with AWS CDK
were not known
when deploying
a particular
package.",Lack of Knowledge
111,2/6/2025,"JS with React,
defect exists
where a text box
that should accept
all real numbers
doesn’t allow
decimal numbers
to be entered into
it.","JS React MUI
library has
many complex
parts to it that
interact with
each other in
strange ways
leading to
issues with
piecing together
complex functional
elements.",Problems with complexity
112,2/10/2025,"Java,
programming in
Eclipse the code I
wrote doesn’t
work with relative
file paths due to
how Eclipse
manages the JRE.","Eclipse
configures and
runs the Java
Runtime
Environment
(JRE) in a
strange way
that isn’t
entirely known
leading to
issues with
relative file
paths. It is not
known where
the JRE runs at.",Lack of Knowledge
113,2/10/2025,"Similar issue to
defect #2 but
different in
nature. The
system was
encoding “\r\n”
as line separators
between sections
of code; however,
the code parsing
this read in “\r\n”
as just “\n” when
parsing each line
causing an error
in most contexts.","Normally “\n”
would be
considered a
newline
character by
itself, but since
“\r\n” can
count as a
newline in
Windows, it
gets parsed as
the same thing
as “\n” when
reading line-by-
line.",Applying “strong-but-now-wrong” rule
114,2/11/2025,"Defect in AWS
cloud deployment,
tried to use a
comma in the
description of a
cloud resource
when commas
aren’t permitted,
prevented cloud
deployment until
fixed.","Unaware that
commas aren’t
permitted in
cloud resource
descriptions in
AWS. I didn’t
know until I
attempted
deployment.",Lack of Knowledge
115,2/11/2025,"Missing closing
parentheses and
semicolon were
missing on AWS
cloud deployment.","Multiple nested
parentheses
spanning
multiple lines
resulted in
perceptual confusion
forgetting
parentheses and
a semicolon at
the end of a
function call.",Perceptual Confusions
116,2/12/2025,"C language
strncpy() was
supposed to start
at the end of
where the first of
two strings was
copied in a
destination string
but began at the
very beginning of
the destination
instead.","Function call
was copied
from similar
section of code
above the one
that caused the
error, the
original code
worked as
intended but
was incorrect in
the new context.",Applying “strong-but-now-wrong” rule
117,2/13/2025,"Code moved
outside of a
function to a prior
point in a file
caused an issue
with the variables
the code snippet
referenced being
undefined.","Most attention
was paid to the
variables
defined by the
code snippet
ignoring the
variables
referenced in
the code snippet
itself and
ignoring
whether they
were defined
ahead or after
where the code
was moved to.",Selectivity
